,state,county,cofips,race,sex,renters,variance
308,AL,GENEVA,1061,white,male,1729.32410127291,18207.9704164392
309,AL,GREENE,1063,asian,female,0.0,948.244897959184
310,AL,GREENE,1063,asian,male,0.0,0.0
311,AL,GREENE,1063,black,female,789.057728119181,7564.67389661532
312,AL,GREENE,1063,black,male,550.245810055866,3690.10473908445
313,AL,GREENE,1063,hisp,female,5.45454545454546,186.868442263965
314,AL,GREENE,1063,hisp,male,4.72727272727273,140.37533480777
315,AL,GREENE,1063,other,female,0.0,35.0133921669552
316,AL,GREENE,1063,other,male,0.0,379.606824653634
317,AL,GREENE,1063,white,female,111.760406091371,1300.9338601691
318,AL,GREENE,1063,white,male,86.2883248730964,776.021883629215
319,AL,HALE,1065,asian,female,0.0,1896.48979591837
320,AL,HALE,1065,asian,male,0.0,0.0
321,AL,HALE,1065,black,female,1075.01845268326,8248.04263885254
322,AL,HALE,1065,black,male,749.659217877095,4032.24447843886
323,AL,HALE,1065,hisp,female,15.0,548.47275190112
324,AL,HALE,1065,hisp,male,13.0,412.087787618429
325,AL,HALE,1065,other,female,0.0,70.0267843339104
326,AL,HALE,1065,other,male,0.0,759.213649307268
327,AL,HALE,1065,white,female,396.534517766498,4047.91566570446
328,AL,HALE,1065,white,male,306.157614213198,2419.54769122862
329,AL,HENRY,1067,asian,female,0.0,386.507843640928
330,AL,HENRY,1067,asian,male,0.0,126.587069562323
331,AL,HENRY,1067,black,female,619.419468636314,6205.32538497052
332,AL,HENRY,1067,black,male,453.629368316613,3336.17743533128
333,AL,HENRY,1067,hisp,female,32.0285493827161,501.708062568241
334,AL,HENRY,1067,hisp,male,38.8456790123457,737.811768929384
335,AL,HENRY,1067,other,female,3.12814895947426,147.076573449253
336,AL,HENRY,1067,other,male,4.07447973713034,249.513574617873
337,AL,HENRY,1067,white,female,714.169114561477,8070.48201468222
338,AL,HENRY,1067,white,male,645.164078892153,6589.40756067881
339,AL,HOUSTON,1069,asian,female,87.2863849765258,536.169062766787
340,AL,HOUSTON,1069,asian,male,49.9530516431925,186.837766857321
341,AL,HOUSTON,1069,black,female,6042.16470069452,50260.7014412055
342,AL,HOUSTON,1069,black,male,4424.95513173851,27724.3396641444
343,AL,HOUSTON,1069,hisp,female,534.153549382716,951.681937864928
344,AL,HOUSTON,1069,hisp,male,647.845679012346,1344.91096814801
345,AL,HOUSTON,1069,other,female,134.510405257393,158.680135474803
346,AL,HOUSTON,1069,other,male,175.202628696605,249.240260979059
347,AL,HOUSTON,1069,white,female,7199.72968247307,4605.4562370877
348,AL,HOUSTON,1069,white,male,6504.07147852847,4080.16117876544
349,AL,JACKSON,1071,asian,female,25.5748031496063,1162.82643346118
350,AL,JACKSON,1071,asian,male,0.0,0.0
351,AL,JACKSON,1071,black,female,386.496453900709,5458.77376553213
